                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   2.1094  25.0320  0.53321E+03  0.55334E+03  0.48463E-03  0.54411E+03  0.55334E+03  0.48463E-03  0.54411E+03
    5.0140   1.9137  26.3880  0.45836E+03  0.48440E+03  0.10068E-02  0.47523E+03  0.48440E+03  0.10068E-02  0.47523E+03
    5.0140   1.7290  27.7430  0.40291E+03  0.43452E+03  0.22611E-02  0.42489E+03  0.43452E+03  0.22611E-02  0.42489E+03
    5.0140   1.5538  29.3070  0.34763E+03  0.38306E+03  0.41269E-02  0.37292E+03  0.38306E+03  0.41269E-02  0.37292E+03
    5.0140   1.3736  31.2970  0.29021E+03  0.32811E+03  0.65435E-02  0.31741E+03  0.32811E+03  0.65435E-02  0.31741E+03
    5.0140   1.0318  36.4750  0.19351E+03  0.23429E+03  0.12859E-01  0.22202E+03  0.23429E+03  0.12859E-01  0.22202E+03
    5.0140   0.0000   0.0000          NaN          NaN  0.00000E+00          NaN          NaN  0.00000E+00          NaN
    5.0140   2.0525  27.7310  0.28526E+03  0.29112E+03  0.12293E-03  0.28643E+03  0.29112E+03  0.12293E-03  0.28643E+03
    5.0140   1.9000  29.6520  0.21617E+03  0.22227E+03  0.10367E-03  0.21844E+03  0.22227E+03  0.10367E-03  0.21844E+03
    5.0140   1.7276  31.5870  0.17690E+03  0.18438E+03  0.11142E-03  0.18079E+03  0.18438E+03  0.11142E-03  0.18079E+03
    5.0140   1.5535  33.3319  0.15903E+03  0.16903E+03  0.14412E-03  0.16515E+03  0.16903E+03  0.14412E-03  0.16515E+03
    5.0140   1.3743  35.4810  0.13963E+03  0.15199E+03  0.19679E-03  0.14769E+03  0.15199E+03  0.19679E-03  0.14769E+03
    5.0140   1.0319  41.5100  0.96150E+02  0.11137E+03  0.41888E-03  0.10621E+03  0.11137E+03  0.41888E-03  0.10621E+03
    5.0140   0.0000   0.0000          NaN          NaN  0.00000E+00          NaN          NaN  0.00000E+00          NaN
    5.0140   0.0000   0.0000          NaN          NaN  0.00000E+00          NaN          NaN  0.00000E+00          NaN
    5.0140   0.0000   0.0000          NaN          NaN  0.00000E+00          NaN          NaN  0.00000E+00          NaN
    5.0140   1.6988  34.4940  0.95560E+02  0.97852E+02  0.81019E-05  0.95961E+02  0.97852E+02  0.81019E-05  0.95961E+02
    5.0140   1.5481  36.8890  0.76072E+02  0.78779E+02  0.85440E-05  0.77065E+02  0.78779E+02  0.85440E-05  0.77065E+02
    5.0140   1.3706  40.1151  0.58418E+02  0.61496E+02  0.95539E-05  0.59885E+02  0.61496E+02  0.95539E-05  0.59885E+02
    5.0140   1.1024  45.0140  0.47772E+02  0.52511E+02  0.35211E-04  0.50507E+02  0.52511E+02  0.35211E-04  0.50507E+02
