                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   2.1094  25.0320  0.18711E+02  0.19582E+02  0.14951E-02  0.19166E+02  0.19582E+02  0.14951E-02  0.19166E+02
    5.0140   1.9137  26.3880  0.16182E+02  0.17219E+02  0.19261E-02  0.16801E+02  0.17219E+02  0.19261E-02  0.16801E+02
    5.0140   1.7290  27.7430  0.14182E+02  0.15401E+02  0.25719E-02  0.14954E+02  0.15401E+02  0.25719E-02  0.14954E+02
    5.0140   1.5538  29.3070  0.12283E+02  0.13613E+02  0.32761E-02  0.13135E+02  0.13613E+02  0.32761E-02  0.13135E+02
    5.0140   1.3736  31.2970  0.10298E+02  0.11701E+02  0.41091E-02  0.11187E+02  0.11701E+02  0.41091E-02  0.11187E+02
    5.0140   1.0318  36.4750  0.69224E+01  0.84268E+01  0.66162E-02  0.78103E+01  0.84268E+01  0.66162E-02  0.78103E+01
    5.0140   0.0000   0.0000          NaN          NaN  0.00000E+00          NaN          NaN  0.00000E+00          NaN
    5.0140   2.0525  27.7310  0.10357E+02  0.10664E+02  0.46349E-03  0.10458E+02  0.10664E+02  0.46349E-03  0.10458E+02
    5.0140   1.9000  29.6520  0.79020E+01  0.81939E+01  0.39684E-03  0.80244E+01  0.81939E+01  0.39684E-03  0.80244E+01
    5.0140   1.7276  31.5870  0.64972E+01  0.68197E+01  0.42579E-03  0.66604E+01  0.68197E+01  0.42579E-03  0.66604E+01
    5.0140   1.5535  33.3319  0.58811E+01  0.62802E+01  0.57571E-03  0.61046E+01  0.62802E+01  0.57571E-03  0.61046E+01
    5.0140   1.3743  35.4810  0.51293E+01  0.56156E+01  0.78269E-03  0.54173E+01  0.56156E+01  0.78269E-03  0.54173E+01
    5.0140   1.0319  41.5100  0.35473E+01  0.41251E+01  0.12674E-02  0.38777E+01  0.41251E+01  0.12674E-02  0.38777E+01
    5.0140   0.0000   0.0000          NaN          NaN  0.00000E+00          NaN          NaN  0.00000E+00          NaN
    5.0140   0.0000   0.0000          NaN          NaN  0.00000E+00          NaN          NaN  0.00000E+00          NaN
    5.0140   0.0000   0.0000          NaN          NaN  0.00000E+00          NaN          NaN  0.00000E+00          NaN
    5.0140   1.6988  34.4940  0.36519E+01  0.37604E+01  0.13407E-03  0.36799E+01  0.37604E+01  0.13407E-03  0.36799E+01
    5.0140   1.5481  36.8890  0.29209E+01  0.30417E+01  0.12970E-03  0.29679E+01  0.30417E+01  0.12970E-03  0.29679E+01
    5.0140   1.3706  40.1151  0.22531E+01  0.23841E+01  0.12994E-03  0.23142E+01  0.23841E+01  0.12994E-03  0.23142E+01
    5.0140   1.1024  45.0140  0.18569E+01  0.20438E+01  0.21820E-03  0.19532E+01  0.20438E+01  0.21820E-03  0.19532E+01
