 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
    5.0140   2.2004  19.0264   0.2283   1.2055  0.21883E+04  0.21869E+04  0.14534E+01  0.24040E+04  0.81954E-01  0.53720E+02  0.23502E+04  0.10000E+01
    5.0140   1.5363  22.5408   0.1803   1.1769  0.12040E+04  0.12031E+04  0.89098E+00  0.14430E+04  0.21536E+00  0.56854E+02  0.13859E+04  0.10000E+01
    5.0140   1.0173  27.8321   0.1573   1.1801  0.62806E+03  0.62765E+03  0.40768E+00  0.84198E+03  0.64886E+00  0.61033E+02  0.78030E+03  0.10000E+01
    5.0140   2.1731  21.6010   0.2871   1.5304  0.11934E+04  0.11933E+04  0.11966E+00  0.12755E+04  0.15583E-01  0.24118E+02  0.12514E+04  0.10000E+01
    5.0140   1.5437  25.7761   0.2365   1.5403  0.67153E+03  0.67126E+03  0.26621E+00  0.77331E+03  0.46212E-01  0.25122E+02  0.74815E+03  0.10000E+01
    5.0140   1.0238  31.8949   0.2070   1.5501  0.36273E+03  0.36257E+03  0.15902E+00  0.46449E+03  0.74908E-01  0.28862E+02  0.43556E+03  0.10000E+01
    5.0140   2.0336  25.9629   0.3680   2.0581  0.45832E+03  0.45839E+03 -0.66133E-01  0.47874E+03  0.39567E-03  0.82946E+01  0.47045E+03  0.10000E+01
    5.0140   1.5395  31.7337   0.3540   2.3080  0.22530E+03  0.22531E+03 -0.14586E-01  0.24483E+03  0.44989E-03  0.61103E+01  0.23872E+03  0.10000E+01
    5.0140   1.0398  38.9690   0.3111   2.3202  0.13795E+03  0.13795E+03  0.15346E-02  0.16408E+03  0.24268E-02  0.80387E+01  0.15604E+03  0.10000E+01
