                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   2.2004  19.0264  0.45625E+03  0.50332E+03  0.79631E-01  0.49134E+03  0.50332E+03  0.79631E-01  0.49134E+03
    5.0140   1.5363  22.5408  0.25192E+03  0.30358E+03  0.36487E+00  0.29056E+03  0.30358E+03  0.36487E+00  0.29056E+03
    5.0140   1.0173  27.8321  0.13193E+03  0.17849E+03  0.77908E+00  0.16404E+03  0.17849E+03  0.77908E+00  0.16404E+03
    5.0140   2.1731  21.6010  0.25101E+03  0.26928E+03  0.64666E-02  0.26395E+03  0.26928E+03  0.64666E-02  0.26395E+03
    5.0140   1.5437  25.7761  0.14170E+03  0.16378E+03  0.35420E-01  0.15819E+03  0.16378E+03  0.35420E-01  0.15819E+03
    5.0140   1.0238  31.8949  0.76784E+02  0.98811E+02  0.98865E-01  0.92296E+02  0.98811E+02  0.98865E-01  0.92296E+02
    5.0140   2.0336  25.9629  0.98162E+02  0.10282E+03  0.39489E-03  0.10100E+03  0.10282E+03  0.39489E-03  0.10100E+03
    5.0140   1.5395  31.7337  0.48484E+02  0.52814E+02  0.37600E-03  0.51479E+02  0.52814E+02  0.37600E-03  0.51479E+02
    5.0140   1.0398  38.9690  0.29634E+02  0.35342E+02  0.10817E-02  0.33579E+02  0.35342E+02  0.10817E-02  0.33579E+02
