                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   2.2004  19.0264  0.21815E+04  0.23930E+04  0.81954E-01  0.23400E+04  0.23930E+04  0.81954E-01  0.23400E+04
    5.0140   1.5363  22.5408  0.11997E+04  0.14336E+04  0.21536E+00  0.13776E+04  0.14336E+04  0.21536E+00  0.13776E+04
    5.0140   1.0173  27.8321  0.62474E+03  0.83339E+03  0.64886E+00  0.77308E+03  0.83339E+03  0.64886E+00  0.77308E+03
    5.0140   2.1731  21.6010  0.11871E+04  0.12660E+04  0.15583E-01  0.12423E+04  0.12660E+04  0.15583E-01  0.12423E+04
    5.0140   1.5437  25.7761  0.66760E+03  0.76595E+03  0.46212E-01  0.74135E+03  0.76595E+03  0.46212E-01  0.74135E+03
    5.0140   1.0238  31.8949  0.35983E+03  0.45783E+03  0.74908E-01  0.42971E+03  0.45783E+03  0.74908E-01  0.42971E+03
    5.0140   2.0336  25.9629  0.45393E+03  0.47235E+03  0.39567E-03  0.46424E+03  0.47235E+03  0.39567E-03  0.46424E+03
    5.0140   1.5395  31.7337  0.22254E+03  0.24047E+03  0.44989E-03  0.23455E+03  0.24047E+03  0.44989E-03  0.23455E+03
    5.0140   1.0398  38.9690  0.13589E+03  0.16025E+03  0.24268E-02  0.15253E+03  0.16025E+03  0.24268E-02  0.15253E+03
