                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   2.2004  19.0264  0.89141E+04  0.97267E+04  0.20257E+00  0.95415E+04  0.97267E+04  0.20257E+00  0.95415E+04
    5.0140   1.5363  22.5408  0.48154E+04  0.57129E+04  0.13166E+01  0.55176E+04  0.57129E+04  0.13166E+01  0.55176E+04
    5.0140   1.0173  27.8321  0.24666E+04  0.32532E+04  0.34548E+01  0.30438E+04  0.32532E+04  0.34548E+01  0.30438E+04
    5.0140   2.1731  21.6010  0.47862E+04  0.50848E+04  0.13322E-01  0.50014E+04  0.50848E+04  0.13322E-01  0.50014E+04
    5.0140   1.5437  25.7761  0.26412E+04  0.30170E+04  0.84416E-01  0.29308E+04  0.30170E+04  0.84416E-01  0.29308E+04
    5.0140   1.0238  31.8949  0.14024E+04  0.17714E+04  0.26911E+00  0.16731E+04  0.17714E+04  0.26911E+00  0.16731E+04
    5.0140   2.0336  25.9629  0.17824E+04  0.18498E+04  0.29041E-03  0.18211E+04  0.18498E+04  0.29041E-03  0.18211E+04
    5.0140   1.5395  31.7337  0.85720E+03  0.92470E+03  0.34238E-03  0.90356E+03  0.92470E+03  0.34238E-03  0.90356E+03
    5.0140   1.0398  38.9690  0.51902E+03  0.61022E+03  0.17993E-02  0.58267E+03  0.61022E+03  0.17993E-02  0.58267E+03
