 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
    5.0140   2.2004  19.0264   0.2283   1.2055  0.45625E+03  0.45595E+03  0.30286E+00  0.50301E+03  0.79631E-01  0.11843E+02  0.49109E+03  0.10009E+01
    5.0140   1.5363  22.5408   0.1803   1.1769  0.25192E+03  0.25173E+03  0.18496E+00  0.30304E+03  0.36487E+00  0.12577E+02  0.29010E+03  0.10010E+01
    5.0140   1.0173  27.8321   0.1573   1.1801  0.13193E+03  0.13184E+03  0.84367E-01  0.17785E+03  0.77908E+00  0.13541E+02  0.16353E+03  0.10016E+01
    5.0140   2.1731  21.6010   0.2871   1.5304  0.25101E+03  0.25099E+03  0.24984E-01  0.26893E+03  0.64666E-02  0.52928E+01  0.26363E+03  0.10016E+01
    5.0140   1.5437  25.7761   0.2365   1.5403  0.14170E+03  0.14164E+03  0.55398E-01  0.16339E+03  0.35420E-01  0.55137E+01  0.15784E+03  0.10017E+01
    5.0140   1.0238  31.8949   0.2070   1.5501  0.76784E+02  0.76751E+02  0.32996E-01  0.98381E+02  0.98865E-01  0.63476E+01  0.91934E+02  0.10024E+01
    5.0140   2.0336  25.9629   0.3680   2.0581  0.98162E+02  0.98176E+02 -0.13865E-01  0.10253E+03  0.39489E-03  0.18056E+01  0.10073E+03  0.10028E+01
    5.0140   1.5395  31.7337   0.3540   2.3080  0.48484E+02  0.48487E+02 -0.30543E-02  0.52596E+02  0.37600E-03  0.13220E+01  0.51273E+02  0.10036E+01
    5.0140   1.0398  38.9690   0.3111   2.3202  0.29634E+02  0.29634E+02  0.31987E-03  0.35130E+02  0.10817E-02  0.17384E+01  0.33390E+02  0.10045E+01
