 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
    5.0140   2.2004  19.0264   0.2283   1.2055  0.88506E+04  0.88454E+04  0.51262E+01  0.96413E+04  0.20257E+00  0.18100E+03  0.94601E+04  0.10072E+01
    5.0140   1.5363  22.5408   0.1803   1.1769  0.47761E+04  0.47730E+04  0.31511E+01  0.56538E+04  0.13166E+01  0.18935E+03  0.54632E+04  0.10082E+01
    5.0140   1.0173  27.8321   0.1573   1.1801  0.24373E+04  0.24359E+04  0.14409E+01  0.32069E+04  0.34548E+01  0.20041E+03  0.30030E+04  0.10120E+01
    5.0140   2.1731  21.6010   0.2871   1.5304  0.47285E+04  0.47280E+04  0.41953E+00  0.50146E+04  0.13322E-01  0.81130E+02  0.49335E+04  0.10122E+01
    5.0140   1.5437  25.7761   0.2365   1.5403  0.26062E+04  0.26053E+04  0.93490E+00  0.29698E+04  0.84416E-01  0.83478E+02  0.28862E+04  0.10134E+01
    5.0140   1.0238  31.8949   0.2070   1.5501  0.13774E+04  0.13768E+04  0.55717E+00  0.17333E+04  0.26911E+00  0.94443E+02  0.16386E+04  0.10182E+01
    5.0140   2.0336  25.9629   0.3680   2.0581  0.17435E+04  0.17437E+04 -0.22828E+00  0.18065E+04  0.29041E-03  0.27794E+02  0.17788E+04  0.10223E+01
    5.0140   1.5395  31.7337   0.3540   2.3080  0.83348E+03  0.83353E+03 -0.50018E-01  0.89694E+03  0.34238E-03  0.20162E+02  0.87678E+03  0.10285E+01
    5.0140   1.0398  38.9690   0.3111   2.3202  0.50163E+03  0.50163E+03  0.52595E-02  0.58721E+03  0.17993E-02  0.26021E+02  0.56119E+03  0.10347E+01
