                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   2.2004  19.0264  0.45625E+03  0.50301E+03  0.79631E-01  0.49109E+03  0.50301E+03  0.79631E-01  0.49109E+03
    5.0140   1.5363  22.5408  0.25192E+03  0.30304E+03  0.36487E+00  0.29010E+03  0.30304E+03  0.36487E+00  0.29010E+03
    5.0140   1.0173  27.8321  0.13193E+03  0.17785E+03  0.77908E+00  0.16353E+03  0.17785E+03  0.77908E+00  0.16353E+03
    5.0140   2.1731  21.6010  0.25101E+03  0.26893E+03  0.64666E-02  0.26363E+03  0.26893E+03  0.64666E-02  0.26363E+03
    5.0140   1.5437  25.7761  0.14170E+03  0.16339E+03  0.35420E-01  0.15784E+03  0.16339E+03  0.35420E-01  0.15784E+03
    5.0140   1.0238  31.8949  0.76784E+02  0.98381E+02  0.98865E-01  0.91934E+02  0.98381E+02  0.98865E-01  0.91934E+02
    5.0140   2.0336  25.9629  0.98162E+02  0.10253E+03  0.39489E-03  0.10073E+03  0.10253E+03  0.39489E-03  0.10073E+03
    5.0140   1.5395  31.7337  0.48484E+02  0.52596E+02  0.37600E-03  0.51273E+02  0.52596E+02  0.37600E-03  0.51273E+02
    5.0140   1.0398  38.9690  0.29634E+02  0.35130E+02  0.10817E-02  0.33390E+02  0.35130E+02  0.10817E-02  0.33390E+02
