                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   2.2004  19.0264  0.73030E+02  0.80648E+02  0.28977E-01  0.78155E+02  0.80648E+02  0.28977E-01  0.78155E+02
    5.0140   1.5363  22.5408  0.41056E+02  0.49399E+02  0.69848E-01  0.46515E+02  0.49399E+02  0.69848E-01  0.46515E+02
    5.0140   1.0173  27.8321  0.21723E+02  0.29568E+02  0.13366E+00  0.26170E+02  0.29568E+02  0.13366E+00  0.26170E+02
    5.0140   2.1731  21.6010  0.40334E+02  0.43371E+02  0.75129E-02  0.42268E+02  0.43371E+02  0.75129E-02  0.42268E+02
    5.0140   1.5437  25.7761  0.23142E+02  0.26681E+02  0.16153E-01  0.25474E+02  0.26681E+02  0.16153E-01  0.25474E+02
    5.0140   1.0238  31.8949  0.12659E+02  0.16273E+02  0.32283E-01  0.14775E+02  0.16273E+02  0.32283E-01  0.14775E+02
    5.0140   2.0336  25.9629  0.16045E+02  0.16824E+02  0.13131E-02  0.16460E+02  0.16824E+02  0.13131E-02  0.16460E+02
    5.0140   1.5395  31.7337  0.80198E+01  0.87227E+01  0.12547E-02  0.84493E+01  0.87227E+01  0.12547E-02  0.84493E+01
    5.0140   1.0398  38.9690  0.49294E+01  0.58402E+01  0.27195E-02  0.54616E+01  0.58402E+01  0.27195E-02  0.54616E+01
