                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   2.2004  19.0264  0.21883E+04  0.24023E+04  0.81954E-01  0.23488E+04  0.24023E+04  0.81954E-01  0.23488E+04
    5.0140   1.5363  22.5408  0.12040E+04  0.14402E+04  0.21536E+00  0.13835E+04  0.14402E+04  0.21536E+00  0.13835E+04
    5.0140   1.0173  27.8321  0.62806E+03  0.83861E+03  0.64886E+00  0.77752E+03  0.83861E+03  0.64886E+00  0.77752E+03
    5.0140   2.1731  21.6010  0.11934E+04  0.12737E+04  0.15583E-01  0.12497E+04  0.12737E+04  0.15583E-01  0.12497E+04
    5.0140   1.5437  25.7761  0.67153E+03  0.77128E+03  0.46212E-01  0.74632E+03  0.77128E+03  0.46212E-01  0.74632E+03
    5.0140   1.0238  31.8949  0.36273E+03  0.46226E+03  0.74908E-01  0.43365E+03  0.46226E+03  0.74908E-01  0.43365E+03
    5.0140   2.0336  25.9629  0.45832E+03  0.47722E+03  0.39567E-03  0.46898E+03  0.47722E+03  0.39567E-03  0.46898E+03
    5.0140   1.5395  31.7337  0.22530E+03  0.24369E+03  0.44989E-03  0.23763E+03  0.24369E+03  0.44989E-03  0.23763E+03
    5.0140   1.0398  38.9690  0.13795E+03  0.16287E+03  0.24268E-02  0.15494E+03  0.16287E+03  0.24268E-02  0.15494E+03
