                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   2.2004  19.0264  0.45625E+03  0.50296E+03  0.79631E-01  0.49103E+03  0.50296E+03  0.79631E-01  0.49103E+03
    5.0140   1.5363  22.5408  0.25192E+03  0.30299E+03  0.36487E+00  0.29005E+03  0.30299E+03  0.36487E+00  0.29005E+03
    5.0140   1.0173  27.8321  0.13193E+03  0.17778E+03  0.77908E+00  0.16346E+03  0.17778E+03  0.77908E+00  0.16346E+03
    5.0140   2.1731  21.6010  0.25101E+03  0.26890E+03  0.64666E-02  0.26360E+03  0.26890E+03  0.64666E-02  0.26360E+03
    5.0140   1.5437  25.7761  0.14170E+03  0.16335E+03  0.35420E-01  0.15781E+03  0.16335E+03  0.35420E-01  0.15781E+03
    5.0140   1.0238  31.8949  0.76784E+02  0.98339E+02  0.98865E-01  0.91896E+02  0.98339E+02  0.98865E-01  0.91896E+02
    5.0140   2.0336  25.9629  0.98162E+02  0.10250E+03  0.39489E-03  0.10070E+03  0.10250E+03  0.39489E-03  0.10070E+03
    5.0140   1.5395  31.7337  0.48484E+02  0.52574E+02  0.37600E-03  0.51253E+02  0.52574E+02  0.37600E-03  0.51253E+02
    5.0140   1.0398  38.9690  0.29634E+02  0.35109E+02  0.10817E-02  0.33371E+02  0.35109E+02  0.10817E-02  0.33371E+02
