 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
    5.0140   2.2004  19.0264   0.2283   1.2055  0.89141E+04  0.89090E+04  0.51630E+01  0.97267E+04  0.20257E+00  0.18496E+03  0.95415E+04  0.10000E+01
    5.0140   1.5363  22.5408   0.1803   1.1769  0.48154E+04  0.48122E+04  0.31770E+01  0.57129E+04  0.13166E+01  0.19395E+03  0.55176E+04  0.10000E+01
    5.0140   1.0173  27.8321   0.1573   1.1801  0.24666E+04  0.24652E+04  0.14582E+01  0.32532E+04  0.34548E+01  0.20600E+03  0.30438E+04  0.10000E+01
    5.0140   2.1731  21.6010   0.2871   1.5304  0.47862E+04  0.47858E+04  0.42466E+00  0.50848E+04  0.13322E-01  0.83377E+02  0.50014E+04  0.10000E+01
    5.0140   1.5437  25.7761   0.2365   1.5403  0.26412E+04  0.26402E+04  0.94743E+00  0.30170E+04  0.84416E-01  0.86167E+02  0.29308E+04  0.10000E+01
    5.0140   1.0238  31.8949   0.2070   1.5501  0.14024E+04  0.14019E+04  0.56732E+00  0.17714E+04  0.26911E+00  0.98028E+02  0.16731E+04  0.10000E+01
    5.0140   2.0336  25.9629   0.3680   2.0581  0.17824E+04  0.17827E+04 -0.23337E+00  0.18498E+04  0.29041E-03  0.28783E+02  0.18211E+04  0.10000E+01
    5.0140   1.5395  31.7337   0.3540   2.3080  0.85720E+03  0.85725E+03 -0.51442E-01  0.92470E+03  0.34238E-03  0.21145E+02  0.90356E+03  0.10000E+01
    5.0140   1.0398  38.9690   0.3111   2.3202  0.51902E+03  0.51902E+03  0.54419E-02  0.61022E+03  0.17993E-02  0.27551E+02  0.58267E+03  0.10000E+01
