                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   2.2004  19.0264  0.88506E+04  0.96413E+04  0.20257E+00  0.94601E+04  0.96413E+04  0.20257E+00  0.94601E+04
    5.0140   1.5363  22.5408  0.47761E+04  0.56538E+04  0.13166E+01  0.54632E+04  0.56538E+04  0.13166E+01  0.54632E+04
    5.0140   1.0173  27.8321  0.24373E+04  0.32069E+04  0.34548E+01  0.30030E+04  0.32069E+04  0.34548E+01  0.30030E+04
    5.0140   2.1731  21.6010  0.47285E+04  0.50146E+04  0.13322E-01  0.49335E+04  0.50146E+04  0.13322E-01  0.49335E+04
    5.0140   1.5437  25.7761  0.26062E+04  0.29698E+04  0.84416E-01  0.28862E+04  0.29698E+04  0.84416E-01  0.28862E+04
    5.0140   1.0238  31.8949  0.13774E+04  0.17333E+04  0.26911E+00  0.16386E+04  0.17333E+04  0.26911E+00  0.16386E+04
    5.0140   2.0336  25.9629  0.17435E+04  0.18065E+04  0.29041E-03  0.17788E+04  0.18065E+04  0.29041E-03  0.17788E+04
    5.0140   1.5395  31.7337  0.83348E+03  0.89694E+03  0.34238E-03  0.87678E+03  0.89694E+03  0.34238E-03  0.87678E+03
    5.0140   1.0398  38.9690  0.50163E+03  0.58721E+03  0.17993E-02  0.56119E+03  0.58721E+03  0.17993E-02  0.56119E+03
